A1: Ladder,B1: Fastspin-LT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
8.339541,120.7479,68.50235,37.29291,68.53796,19.47778,65.81365,51.66819,12.76743,4.134131,15.77068,27.52835,22.43043,6.998951,2.184757,2.562385
8.178875,118.2868,67.88,35.82362,65.68465,19.31012,63.08035,49.61307,12.12968,3.973049,14.83972,27.2335,22.21848,7.052565,2.188817,2.459252
8.400829,117.1493,66.59676,34.96639,62.97757,18.75727,59.61356,47.65049,12.00868,4.053318,13.89965,26.29804,21.58657,7.112377,2.042685,2.432354
8.025843,115.1027,64.84325,34.34007,60.16884,18.09113,56.42872,45.8182,12.12262,4.319418,12.84289,24.93143,21.19661,7.155383,1.934016,2.424954
8.052625,111.7007,63.40969,33.44813,57.77947,17.94108,54.71921,44.71078,12.3862,4.087631,11.04469,23.80919,20.36821,7.206055,1.831833,2.448412
8.129676,108.6987,61.59668,31.22791,54.82652,18.08358,53.67622,43.2974,11.86655,3.774514,10.48855,21.91476,18.87979,7.164111,1.791171,2.439618
8.207847,104.0431,59.34189,29.00692,52.4288,18.47881,53.01521,42.11184,11.27066,3.488424,9.681631,21.72184,17.63432,6.810915,1.834132,2.45154
8.169238,100.1986,56.53468,27.87606,51.24556,17.48822,52.08352,40.98605,10.63813,3.555006,9.369736,20.93426,15.45165,6.626746,1.955483,2.48359
7.822517,96.65083,53.82034,26.1529,50.17774,16.58857,50.81429,40.69958,9.878196,3.645177,9.217772,19.48332,12.51941,6.52753,1.998219,2.495147
7.850019,92.09763,50.36474,25.7732,49.08036,15.98052,49.78735,40.42344,9.136797,3.663597,9.560763,18.00845,11.49177,6.31216,2.058634,2.332829
7.706085,86.36218,50.55164,25.878,47.5892,15.32546,48.38043,39.00831,7.968377,3.581087,9.547222,17.00392,11.01163,6.227376,2.082862,2.24718
7.006471,84.86436,49.73702,25.94392,45.47887,15.30156,46.43742,38.009,7.648073,3.600758,9.097904,16.6419,11.3712,6.188369,2.069247,2.241414
6.936776,82.24272,48.82933,26.98397,44.20472,14.63184,45.66225,37.25074,7.643475,3.919303,8.286331,16.87517,12.24997,6.154917,1.935978,2.264594
6.69232,81.55246,48.03982,25.05373,42.03998,14.53222,44.9533,36.17448,6.95615,3.699442,7.956778,17.27737,13.09536,6.078563,1.817218,2.250276
6.613201,80.17829,47.57359,24.08015,40.13802,14.15059,44.2625,34.72277,6.826378,3.539135,7.771772,17.90895,12.79773,5.976323,1.878175,2.245387
6.875078,77.60056,46.89504,23.29715,39.85646,13.6841,43.54578,33.96256,6.969682,3.610328,8.0144,18.41142,12.46092,5.767685,1.856787,2.361459
6.994128,76.37376,45.83901,23.37813,39.37074,13.80523,42.54031,33.60445,7.5281,3.607927,8.689097,18.24281,12.05289,5.611089,1.947163,2.324046
7.481561,74.85641,44.61451,23.85201,38.63068,14.53242,41.41302,33.83863,7.619694,3.988834,8.725439,17.43153,11.6442,5.371551,2.000208,2.31318
7.850838,72.67066,42.98915,26.00022,38.09235,14.7223,40.66351,33.11796,7.527361,4.026273,9.214153,17.07845,11.22154,5.218636,2.104734,2.282641
8.079086,70.01183,42.56023,27.31876,36.25037,15.70413,39.09231,32.9772,8.038325,4.208379,9.352456,17.09803,10.90198,5.191975,2.237937,2.318017
8.580271,70.16264,41.46981,28.12765,36.12968,16.62205,37.99522,32.87476,9.378253,4.66785,9.125907,17.45225,10.75637,5.129553,2.363385,2.390224
8.549537,67.22243,41.02087,28.60111,36.26876,16.78861,38.01322,32.42806,9.062679,4.734737,9.2202,17.44078,11.59867,5.09658,2.56032,2.502693
8.207373,65.95766,42.02155,28.06852,36.17834,17.33116,37.06681,32.20729,8.676422,5.125601,8.904408,17.24863,12.28857,5.066337,2.815391,2.679316
8.221474,64.88803,43.15061,27.95982,37.15936,18.11289,37.07159,32.34625,9.394418,5.63941,9.366458,16.99715,12.97866,5.227943,2.911157,2.830095
8.1534,64.2236,44.85231,28.17869,38.20472,18.77404,37.81036,33.29783,10.05806,6.127113,9.618947,17.52892,14.22756,5.22687,3.067962,3.024071
8.464318,64.6711,45.14563,28.69691,39.24428,19.71277,38.56794,34.04075,10.1455,6.85611,10.01554,18.51309,15.457,5.258621,3.220516,3.264093
8.890712,65.86823,45.6626,29.48608,41.07544,20.29473,40.0187,34.47592,11.22198,7.600264,11.18213,19.45811,15.65685,5.362329,3.448307,3.519346
9.282329,67.14267,46.01167,30.78505,41.66456,21.1739,41.2423,34.16711,12.44347,8.263946,11.81038,21.03102,16.59221,5.646513,3.750226,3.812947
9.982604,68.21602,46.9226,32.39849,41.68489,22.29593,42.52862,35.84507,14.56862,9.666123,12.89174,22.00636,17.70935,5.959987,4.212383,4.326457
11.22345,68.7767,46.49218,35.32438,43.20795,24.05227,44.96829,38.2422,15.9528,11.04415,14.73054,23.06478,19.57449,6.28386,4.916994,4.74435
13.07331,70.27361,48.76965,39.9814,45.34884,26.14676,47.1759,41.24657,18.10927,13.30905,17.43958,24.17043,22.54568,6.860573,5.848574,5.58138
16.1449,74.29703,53.41961,46.40128,47.21209,31.16893,50.15122,45.76688,22.17859,16.20716,20.62096,26.78673,26.94919,7.863363,7.343778,6.841072
21.04915,79.18084,58.94875,55.09321,49.61695,36.86891,54.60945,51.64206,27.67606,20.55235,24.83265,30.22952,33.95511,9.476221,9.811244,8.792069
28.70131,85.60178,65.87254,65.04045,54.77303,44.08224,60.08834,59.58094,35.00121,27.45552,31.39661,35.18526,43.35015,11.92649,13.94703,11.85455
39.42331,94.69521,75.14034,78.01849,60.63555,53.88417,66.68089,69.76973,45.30711,36.16187,40.88382,43.05187,54.62173,15.75108,20.10191,16.52446
54.01714,107.7667,88.47671,93.38899,69.31223,66.22485,76.06739,82.26917,57.76073,47.96878,53.51571,54.45369,70.65289,21.81259,29.02229,23.55365
73.44835,122.8664,104.4909,113.9944,79.6863,82.82751,87.8699,97.2052,74.87283,64.12528,70.75547,68.82511,91.38116,31.32345,40.71268,33.97262
98.83533,142.883,125.8309,137.6904,94.68594,104.7567,104.5694,118.4837,97.54773,84.97021,96.47433,87.04688,117.7288,45.3138,55.91221,48.86293
131.1967,166.7504,152.789,166.503,115.3173,132.4124,126.2262,144.4967,126.6642,111.0478,126.2998,110.5518,150.0005,64.77671,77.31728,69.11656
168.8063,196.6618,185.5323,204.8302,141.6461,164.5712,154.4483,176.5668,162.6777,144.4933,163.125,139.157,189.3193,91.05248,106.1509,94.7905
211.5094,231.747,223.008,247.255,173.8142,202.5682,189.9212,213.3805,203.0092,185.0312,205.2414,173.651,234.1062,124.9118,142.7643,126.2015
258.2079,269.653,265.0667,292.1602,215.0992,246.8182,230.8834,254.3187,247.3587,230.2563,252.5161,211.2073,285.2648,167.9524,189.3351,165.6597
306.6004,312.2777,310.5179,339.7249,260.2526,294.9231,275.5796,299.1185,294.8249,277.9735,302.1557,253.7016,335.7613,217.4941,243.0706,213.8414
355.2537,355.1944,357.316,386.1849,308.2767,343.3358,322.257,346.2145,342.1897,328.7456,352.6748,301.0352,383.4149,273.136,300.9653,268.0037
400.5169,396.2774,401.7501,430.2338,357.4543,390.366,369.6144,390.4184,387.6392,378.0884,399.2398,348.72,425.6526,330.8311,359.959,326.1245
440.3026,432.4763,439.7949,464.1123,405.7056,433.9962,414.1936,430.3808,430.9608,422.2881,441.1948,396.9046,461.674,387.6134,412.8951,384.5597
471.523,463.7759,471.3094,487.0927,446.3324,469.0242,451.6236,463.6417,464.578,458.6613,473.6224,439.4756,486.4185,437.1376,456.4254,436.3215
492.518,484.8406,491.1044,497.5984,476.1638,490.3284,478.6017,486.1516,489.7549,484.6128,494.7872,472.4337,498.5856,474.8215,486.9409,476.0609
499.664,496.7232,498.8548,496.229,495.0634,499.9077,495.1648,497.621,499.7667,499.3317,499.2831,493.5926,497.0488,495.737,499.9297,496.126
494.2581,495.9321,494.2769,482.3201,499.3354,493.5959,499.609,495.7487,494.4865,497.1659,488.5797,499.0984,483.2147,497.4448,494.3366,496.9051
478.1116,483.3282,478.1353,458.8109,491.1337,475.6834,490.3956,481.8859,475.7185,480.5801,465.6333,487.8407,457.3706,480.1724,471.6769,478.2694
451.5707,461.5638,449.9013,427.7978,471.2513,446.5222,468.8149,458.3629,444.061,452.3199,432.92,463.5418,419.5374,444.2389,433.5824,442.9913
415.8144,427.1826,413.9074,389.9609,439.7892,409.7941,438.0175,427.2449,404.9711,414.3583,390.0995,427.0142,374.7916,394.184,386.3661,395.3347
375.6053,388.0682,373.1693,350.8915,403.0024,367.6081,400.5755,390.1595,362.7966,368.7101,341.709,383.7254,327.3656,336.7025,333.6411,341.8266
330.2031,349.8129,331.9697,312.1613,362.6326,322.8586,360.8948,353.8279,316.7662,320.3977,294.6367,338.036,283.3909,278.3973,278.0064,285.8726
284.9015,313.2375,292.7912,277.0579,320.9225,277.6083,321.6127,317.8283,272.614,272.1269,250.198,291.7344,240.0418,223.125,225.8491,231.535
241.3615,282.7773,258.5821,245.2819,283.4178,237.246,286.1144,285.916,233.902,227.9041,209.2092,249.5008,201.3133,174.9566,179.3935,184.211
202.093,260.5805,231.524,220.5463,250.6562,202.9576,257.1416,259.8832,200.4597,188.8897,173.7073,212.5153,170.1271,134.8235,141.1248,144.549
168.7494,245.5666,209.2233,203.0836,223.5595,175.2339,234.5551,240.3752,173.6218,156.8485,146.7071,180.6819,146.7842,103.8666,110.6396,112.2586
141.9469,239.1107,195.5188,190.4034,204.2071,155.9072,217.8878,225.3182,152.2998,131.088,128.6847,156.7588,128.6266,81.27735,87.80768,87.83421
119.87,234.0703,186.8161,181.7737,192.0332,142.7167,208.4054,215.9946,138.3898,112.4645,114.8192,139.3845,116.3179,66.46877,72.85829,69.61993
103.6058,232.2047,183.7595,176.6802,186.2011,135.3263,204.2196,210.8662,129.9322,99.12769,103.6947,128.2145,109.1002,56.42919,63.2784,58.00986
90.98237,232.7177,183.5308,174.7551,182.1113,129.0179,202.4407,210.0285,125.21,89.69935,97.48616,121.2564,108.5409,50.2822,56.93357,50.46706
80.78358,234.5088,184.8913,177.2146,183.207,125.4026,202.5921,211.8895,122.3028,83.90288,94.18466,117.6272,106.5083,46.43314,52.16529,45.25148
