A1: Ladder,B1: PowerSoil-HT-Organic-1,C1: PowerSoil-HT-Organic-2,D1: PowerSoil-HT-Organic-3,E1: PowerSoil-HT-Sand-Clay-1,F1: PowerSoil-HT-Sand-Clay-2,G1: PowerSoil-HT-Sand-Clay-3,H1: PowerSoil-HT-Sand-1,A2: PowerSoil-HT-Sand-2,B2: PowerSoil-HT-Sand-3,C2: PowerSoil-HT-Clay-1,D2: PowerSoil-HT-Clay-2,E2: PowerSoil-HT-Clay-3,F2: PowerSoil-HT-Beach-Sand-1,G2: PowerSoil-HT-Beach-Sand-2,H2: PowerSoil-HT-Beach-Sand-3
11.25465,3.050348,0.610222,0.8539594,2.371245,1.891529,0.4047688,1.084635,1.747579,2.023376,1.623706,0.71636,1.902303,1.490812,1.561113,0.5929954
11.02872,2.90636,0.7134233,1.06774,2.506141,1.966513,0.5849324,1.209492,1.896602,1.933446,1.826971,1.033383,1.943284,1.507692,1.530486,0.6251342
10.81382,3.138697,0.7350309,1.1178,2.483845,2.013367,0.6760537,1.262889,1.973408,1.887295,1.947276,1.424861,1.960729,1.6765,1.533079,0.6682906
10.39581,3.216296,0.7788488,1.232541,2.705636,2.176427,0.648034,1.291437,1.975032,1.93577,1.549951,1.676792,1.993364,1.831551,1.540825,0.7519499
10.03016,3.266526,0.8081362,1.208319,2.54953,2.178793,0.6889752,1.314852,1.927315,2.010268,1.65055,1.490055,2.017396,1.951111,1.628996,0.7880191
9.910834,3.291713,0.7582658,1.084778,2.473481,2.166017,0.6669865,1.32952,1.996637,2.150094,1.813483,1.324188,2.042407,2.049782,1.757503,0.8195643
9.882124,3.444098,0.8740855,1.104542,2.437649,2.171511,0.6338103,1.31022,2.013132,2.314747,1.679903,1.699435,2.15036,2.113791,1.826745,0.8182371
10.04465,3.35569,0.8990824,1.051588,2.485925,2.368773,0.6783903,1.405072,2.103546,2.257894,1.387764,1.869158,2.236353,2.190353,1.895137,0.8732623
10.30607,3.354119,0.9710035,1.18077,2.445871,2.386088,0.6675431,1.464666,2.18372,2.446144,1.299037,1.950249,2.4168,2.260024,2.024375,1.031175
10.33546,3.346269,1.185766,1.345412,2.273126,2.58118,0.7193186,1.534264,2.391167,2.58388,1.466332,1.744249,2.528431,2.379817,2.156896,1.181192
10.18176,3.504261,1.300324,1.567621,2.211013,2.718308,0.8126803,1.589026,2.4588,2.654408,1.978094,1.497857,2.613389,2.41247,2.342699,1.333959
10.05009,3.625932,1.536767,1.785432,2.233028,2.801616,0.8266251,1.625445,2.514092,2.787538,2.116688,1.236063,2.724831,2.32299,2.491985,1.521741
10.08945,3.78433,1.668184,1.792383,2.19735,2.727394,0.9001783,1.673787,2.520985,2.870983,2.443796,0.9899316,2.937742,2.400132,2.619976,1.676722
10.22594,3.987719,1.756905,1.849864,2.160178,2.736818,0.9739822,1.739265,2.648278,2.941046,3.047986,0.7915586,3.096807,2.516606,2.76549,1.798236
10.586,4.208636,1.820514,2.036442,2.251054,2.79111,1.108808,1.819306,2.694784,2.939578,3.170701,1.068309,3.243308,2.667995,2.954779,1.833275
10.84942,4.301728,1.71321,2.170496,2.539214,2.872936,1.355571,2.011356,2.863398,2.92464,3.039837,1.33741,3.335298,2.871055,3.069763,1.899253
11.31156,4.413523,1.640652,2.278036,2.748743,2.957585,1.518667,2.249776,3.164874,3.118957,2.97492,1.817923,3.580476,3.161976,3.277817,2.072896
11.53707,4.569109,1.725142,2.373561,3.03637,3.163486,1.7194,2.471251,3.482987,3.25861,2.892595,2.029454,3.948135,3.578107,3.67504,2.301393
11.60797,4.801045,1.890122,2.610462,3.341611,3.314438,1.9851,2.689499,3.719287,3.395036,3.184948,2.38422,4.305062,3.990417,4.24137,2.731816
11.78345,5.156328,2.304229,2.815232,3.676775,3.503697,2.310349,3.003292,4.060986,3.651729,3.567913,2.812083,4.856721,4.578017,5.051988,3.356625
12.6543,5.921078,2.882148,3.344149,4.162138,3.796968,2.746746,3.591796,4.409575,4.134297,4.143935,3.451517,5.882087,5.50134,6.050044,4.109614
13.92666,6.82498,3.478533,4.211032,4.608269,4.26198,3.330585,4.279153,5.02235,4.836157,5.323109,4.078638,7.313696,6.713428,7.501077,5.092794
15.70726,8.194067,4.418321,5.445367,5.278282,4.941133,4.34683,5.188062,5.758943,5.772501,6.640646,5.531386,9.335458,8.47856,9.343139,6.582771
18.52077,10.09539,5.78288,7.257106,6.977373,5.788854,6.049369,6.754142,7.15792,6.959678,9.106753,7.542819,12.35352,10.94955,11.84316,8.737562
22.50695,12.69569,7.59429,10.1229,9.307957,7.622033,8.621529,9.368754,9.191312,8.634399,12.86771,10.70214,16.85561,14.61936,15.3669,11.79756
28.99431,16.76769,10.88995,14.43378,13.14997,10.09995,12.22528,13.2692,12.42383,11.18188,17.42003,14.79366,23.43926,20.34923,20.89375,16.44206
37.88646,22.74067,15.8802,20.72027,18.20644,13.99424,17.08665,19.02719,17.4695,14.84998,24.31284,20.84356,32.65513,28.45816,28.87669,23.3539
49.51414,31.67673,23.74459,30.0125,25.88078,19.76084,23.93883,27.46454,24.33704,20.27726,34.91016,30.26674,45.52529,39.55256,39.95798,32.80267
65.52547,44.78339,34.08103,43.33869,37.15601,28.77547,34.65845,39.9085,34.55007,29.35628,49.59943,42.70411,63.20679,54.90971,54.77106,45.82485
86.33395,62.17966,49.42701,61.27301,52.17609,42.0066,49.5401,56.85901,48.9194,42.42756,69.33599,60.3125,84.90659,75.59447,74.70029,63.46945
114.1698,84.1525,69.94845,83.83405,72.32458,60.79044,69.93174,79.32146,67.59834,59.96021,95.99701,83.68669,113.7249,99.86843,99.48769,86.09011
149.4144,113.1688,95.37396,112.4772,98.49053,85.50141,96.36391,108.2403,92.05164,82.56414,129.9672,114.7157,149.0183,132.0128,129.9029,113.7412
192.3014,149.0429,126.3385,148.5668,132.7121,116.8772,130.9508,144.5426,124.8316,111.1133,171.0072,152.8801,190.7795,170.1271,167.5108,147.0286
242.1647,190.4243,163.508,188.1797,174.5296,154.6992,171.5808,186.6877,166.8567,145.8632,216.1542,197.5454,237.1668,215.0326,212.8063,185.7667
294.6152,238.18,206.1479,231.7047,222.8214,199.0331,216.4171,233.1676,216.1195,189.477,264.6917,245.54,286.7765,266.1538,261.559,227.8829
346.7278,290.9347,253.4491,277.5394,277.6413,249.071,264.2397,281.1576,271.8586,241.2051,313.7175,294.3911,337.0207,319.3982,315.3216,274.2703
394.5249,347.1326,304.4226,327.4121,336.062,302.9626,317.3673,330.9148,329.9576,297.9736,360.364,340.9781,384.8267,371.4791,368.5118,322.2388
436.0016,399.7483,358.0304,374.8632,391.8011,359.62,368.8613,379.0587,383.8911,356.3526,405.4171,384.7355,426.9436,419.9324,418.5262,369.0912
468.674,443.3214,409.3315,417.9949,439.3196,413.5579,418.1431,423.0534,430.1993,409.7712,446.6987,425.2212,462.0825,458.4374,459.4416,413.6025
490.1326,477.8438,453.2996,456.6639,475.1835,457.4361,459.883,460.7065,466.6542,453.4855,478.6827,461.1668,486.7361,486.793,487.3188,452.3212
499.7009,497.6031,483.803,486.4388,496.3449,487.425,488.5641,488.1028,491.4093,483.3676,497.1821,487.6229,498.8188,499.9833,498.5478,481.6723
496.335,497.984,497.971,499.7932,499.5008,499.2878,499.4489,499.7566,499.3838,497.8708,499.0273,499.8291,496.9528,497.9723,495.7393,498.0374
480.7133,483.7545,494.0033,493.5182,486.1683,493.1491,488.0219,490.7888,491.0017,498.0599,482.5312,493.0992,483.1289,483.3607,476.3052,497.9544
454.3561,458.4659,471.0746,468.5845,460.8851,470.811,458.5822,462.5063,470.8772,482.9325,449.3911,467.6702,458.0895,456.3824,444.22,479.4096
419.2432,424.3524,432.1059,430.2047,426.3798,436.106,417.7164,418.993,438.5903,455.5476,405.077,425.7189,423.0095,418.7821,401.1625,445.8028
379.0199,383.672,384.4011,380.4582,385.4998,393.5193,367.7076,364.7704,396.6601,418.8837,355.8232,371.3957,381.0102,374.7302,350.6875,398.9635
336.4046,337.804,331.4707,323.9424,340.74,345.9548,316.4318,305.4242,350.5823,375.4243,305.2155,313.9091,333.455,326.047,298.5426,344.956
293.5271,293.7323,279.1574,270.1955,296.196,295.0418,266.6,248.6685,304.6375,329.9594,256.487,259.3818,284.9949,276.7925,247.4093,288.7096
252.2804,251.0999,228.7974,221.7553,253.0596,246.2409,219.9928,198.2869,260.8721,283.772,210.5276,210.49,238.34,228.9505,199.8816,235.6956
213.9512,210.9422,184.6634,179.0134,212.9344,200.1557,179.4017,155.1295,219.847,240.2266,170.865,167.8371,194.7242,185.493,159.7523,188.6901
180.312,175.2428,147.9212,143.0216,177.8772,161.2133,144.021,120.0164,183.8789,201.1575,137.3459,132.4483,158.2449,148.4109,127.2929,149.3001
151.5931,145.9399,118.2846,114.367,148.3209,129.812,115.8553,93.22419,153.8441,166.7868,111.0985,105.08,128.6991,118.6301,101.6095,117.0342
128.1791,121.5924,94.87167,92.90457,124.2519,105.7862,94.46009,73.6992,128.7716,138.9804,91.16686,84.36312,105.1587,95.35747,81.66098,92.8552
109.7783,102.3321,78.0923,77.98276,105.1756,87.74795,78.98026,60.04957,108.575,116.116,76.93663,69.02536,87.28934,77.77337,66.21595,75.5834
95.63725,87.35965,66.12663,67.63963,90.9943,74.42062,68.11002,51.02802,93.31746,97.83448,66.90998,57.79278,72.52953,64.75488,55.96075,62.95956
85.03377,76.20412,58.0145,60.7033,80.15849,65.08007,60.87785,45.40754,82.14234,84.63974,60.56688,51.07047,62.67691,55.26748,49.1909,53.9766
76.7309,68.75144,52.51839,56.0995,72.43108,58.61573,56.14747,42.38153,73.72839,74.56395,56.33444,46.81296,55.69283,48.93821,44.60249,48.09711
70.32523,63.35833,48.74924,52.74487,66.83249,53.79124,52.54236,40.49283,67.51505,67.526,53.33969,43.43563,50.81846,44.71294,41.45345,44.01111
65.39733,59.26308,46.22034,50.3508,62.67476,50.46782,49.72279,39.12805,62.32916,62.57907,50.92951,41.05931,47.10093,42.13253,39.23209,41.19531
61.14345,56.26228,44.33706,48.29703,58.94231,47.84578,47.68122,37.85512,58.22384,58.82832,48.81438,39.42189,44.2653,40.4194,37.43438,38.99086
57.82575,53.15666,42.46549,46.34512,55.73552,45.60676,45.50355,36.49735,54.78087,55.82265,46.59781,38.0268,42.03562,38.67522,35.59595,37.03195
54.99889,50.47414,40.57587,44.58356,52.46496,43.61503,43.58952,34.91273,51.27697,52.8994,44.50564,36.37717,39.92455,36.80186,33.71055,35.10687
