A1: Ladder,B1: PowerSoil-LT-Organic-1,C1: PowerSoil-LT-Organic-2,D1: PowerSoil-LT-Organic-3,E1: PowerSoil-LT-Sand-Clay-1,F1: PowerSoil-LT-Sand-Clay-2,G1: PowerSoil-LT-Sand-Clay-3,H1: PowerSoil-LT-Sand-1,A2: PowerSoil-LT-Sand-2,B2: PowerSoil-LT-Sand-3,C2: PowerSoil-LT-Clay-1,D2: PowerSoil-LT-Clay-2,E2: PowerSoil-LT-Clay-3,F2: PowerSoil-LT-Beach-Sand-1,G2: PowerSoil-LT-Beach-Sand-2,H2: PowerSoil-LT-Beach-Sand-3
9.165591,4.796871,3.694681,2.168074,2.028891,1.439216,1.779743,1.629529,1.987447,1.46878,3.163857,2.60426,2.262513,1.31512,1.258561,0.9869826
8.874932,4.95529,3.310395,1.971959,2.122703,1.460865,1.768129,1.603373,1.851976,1.329683,3.273892,2.706207,2.152844,1.285476,1.318733,1.009872
8.660241,4.968029,3.085396,2.252869,2.276489,1.318748,1.48802,1.542042,1.776821,1.251091,3.231388,2.731817,2.016099,1.28083,1.370573,1.002012
8.315534,4.568212,3.051084,2.611992,2.527107,1.352567,1.226909,1.492842,1.616819,1.293846,3.274433,2.678159,1.87826,1.277868,1.410303,0.9369491
8.479115,4.639761,3.209433,2.449395,2.844377,1.47543,1.106514,1.508838,1.654833,1.263206,3.330827,2.486948,1.806169,1.275806,1.332685,0.9831834
8.855742,4.759315,3.40268,2.406674,3.036526,1.415689,1.067311,1.562574,1.673104,1.192239,3.248268,2.403333,1.726165,1.283037,1.33377,0.9880767
8.940704,4.324722,3.59868,2.190117,3.163409,1.317026,1.040084,1.599182,1.629454,1.270373,3.097409,2.319403,1.68666,1.214188,1.308958,1.010304
8.933488,4.284988,3.718829,1.913687,3.042084,1.338287,1.165601,1.665531,1.674765,1.474911,2.79984,2.418646,1.803505,1.224086,1.332496,1.090324
9.08477,4.297352,3.534268,1.561318,3.067865,1.352408,1.329942,1.699111,1.76532,1.416891,2.550487,2.609129,1.882732,1.20325,1.403511,1.123737
9.218887,4.461826,3.259864,1.859928,3.005889,1.390202,1.4375,1.669662,1.852695,1.368291,2.565874,2.747155,1.826784,1.265348,1.440237,1.099051
9.036278,4.375036,3.218124,2.030632,3.067207,1.380539,1.346444,1.678743,1.969241,1.297706,2.331435,2.581576,1.538692,1.365304,1.42271,1.11959
8.858174,4.091584,2.997496,2.162467,3.14644,1.469525,1.417553,1.606861,1.904161,1.291116,2.379663,2.678787,1.517051,1.426342,1.376114,1.083481
9.028552,4.15722,2.742992,1.985843,3.210623,1.575952,1.476911,1.481863,1.718801,1.263174,2.509825,2.695094,1.557281,1.60566,1.356699,1.087833
9.049684,4.202669,2.523629,1.682711,3.338188,1.601666,1.461889,1.44139,1.871272,1.203963,2.509737,2.581624,1.652371,1.681715,1.362385,1.055487
8.669979,4.200273,2.450966,1.218525,3.317769,1.632782,1.463527,1.465423,1.943779,1.334349,2.661586,2.70314,1.762003,1.675465,1.290613,1.06046
8.375413,4.268848,2.365163,0.999431,3.355633,1.618183,1.535442,1.522109,1.945426,1.545405,2.774599,2.481904,1.838197,1.621013,1.354845,1.084432
8.18807,4.457381,2.295798,1.176188,3.265828,1.659485,1.785363,1.627435,2.091915,1.587752,2.70552,2.365413,1.870048,1.525813,1.482384,1.194593
8.093346,4.369947,2.340168,1.77247,3.221977,1.617982,1.789093,1.721427,2.217313,1.507838,2.890261,2.133233,1.820269,1.642414,1.663402,1.329846
7.805076,4.320611,2.616246,2.317981,3.242204,1.580633,1.79353,1.811346,2.379153,1.583547,2.8613,1.74202,1.630794,1.731284,1.740356,1.457728
7.558715,4.353856,2.892165,2.870386,3.3228,1.536331,1.916716,1.828927,2.531983,1.709124,3.285069,1.807742,1.68274,1.832994,1.730208,1.592985
7.675936,4.398507,3.107175,3.258183,3.519436,1.629522,1.845679,1.758968,2.547761,1.88166,3.506661,1.846273,1.622874,1.971533,1.788769,1.74703
7.991192,4.474435,3.252863,3.366885,3.551486,1.805164,1.771344,1.792526,2.910554,1.920319,3.534532,2.197972,1.502583,1.982327,1.805754,1.780157
8.194716,4.79451,3.451874,3.034923,3.423493,2.027178,1.553524,1.872688,3.105917,1.980584,3.495179,2.543144,1.728139,2.032682,1.874233,1.833996
8.374658,4.911627,3.378285,2.784422,3.376847,2.22014,1.442186,1.992407,3.157927,2.273314,3.415093,2.698353,2.018384,2.04126,2.015209,1.941575
8.512151,4.82094,3.262792,2.688659,3.337799,2.488344,1.692914,2.21585,3.197505,2.226075,2.947861,2.922644,2.279914,2.060041,2.241227,2.159466
8.649879,4.803594,3.139714,2.797141,3.325609,2.518838,1.896722,2.412764,3.277292,2.156788,3.019221,3.321575,2.433704,2.226728,2.383837,2.381001
